TT TE EE+lowE+lensing 95CL;;TT TE EE+lowE+lensing 68CL;;TT TE EE+lowE+lensing+BK14 95CL;;TT TE EE+lowE+lensing+BK14 68CL;;TT TE EE+lowE+lensing+BK14+BAO 95CL;;TT TE EE+lowE+lensing+BK14+BAO 68CL;
ns95;r95;ns65;r65;nsBK95;rBK95;nsBK68;rBK68;nsBAO95;rBAO95;nsBAO68;rBAO68
0.95828;0;0.975656;0;0.959463;0;0.955236;0;0.962116;0;0.9581;0
0.95828;0.000631;0.975656;0.000594;0.959463;0.000344;0.955236;0.003581;0.962116;0.000396;0.958097;0.000856
0.958387;0.003595;0.975588;0.008172;0.959299;0.002731;0.955339;0.010676;0.961912;0.002991;0.958;0.004427
0.958583;0.007331;0.975596;0.016189;0.959218;0.005741;0.955476;0.015275;0.961753;0.006191;0.957973;0.010807
0.95874;0.011067;0.975655;0.024456;0.959218;0.009373;0.955606;0.019669;0.96164;0.009477;0.958128;0.019173
0.959093;0.0157;0.975588;0.033452;0.959245;0.013629;0.955922;0.02668;0.961572;0.012764;0.958251;0.023327
0.959406;0.020632;0.975474;0.041095;0.959275;0.015695;0.956223;0.031859;0.961572;0.015877;0.958416;0.027429
0.95972;0.025414;0.975405;0.045798;0.959354;0.01778;0.956573;0.036;0.96164;0.020028;0.95868;0.033681
0.960166;0.031704;0.975337;0.050937;0.959572;0.021931;0.957071;0.04104;0.961776;0.023574;0.958868;0.037082
0.960801;0.038364;0.975245;0.057557;0.959844;0.026601;0.957635;0.046022;0.962003;0.027466;0.959074;0.039838
0.961405;0.044842;0.975186;0.062442;0.960123;0.029919;0.958423;0.052026;0.962252;0.031531;0.959588;0.045711
0.961993;0.049774;0.9748;0.0749;0.960497;0.03314;0.959348;0.058173;0.962729;0.035423;0.960547;0.053245
0.962463;0.05366;0.974519;0.082876;0.960733;0.035609;0.960684;0.065575;0.963228;0.039834;0.961757;0.0631
0.96309;0.058143;0.974149;0.091177;0.961096;0.037914;0.961232;0.068449;0.963931;0.043985;0.962693;0.068841
0.963678;0.061431;0.973703;0.097829;0.961667;0.041442;0.961886;0.071557;0.964657;0.047185;0.963853;0.073755
0.964384;0.06442;0.973155;0.104361;0.96232;0.044556;0.962568;0.074196;0.965473;0.050645;0.965209;0.077375
0.965011;0.066662;0.972573;0.110077;0.963055;0.047462;0.963242;0.07647;0.966494;0.053153;0.966362;0.079056
0.965873;0.068156;0.971313;0.118884;0.963817;0.049745;0.964192;0.07841;0.967469;0.054104;0.967077;0.079558
0.966813;0.068605;0.969991;0.123927;0.964552;0.051717;0.965175;0.079315;0.968354;0.054104;0.968461;0.079292
0.967676;0.067409;0.968736;0.126642;0.965423;0.052962;0.9662;0.079449;0.968898;0.053239;0.969763;0.077572
0.968303;0.065018;0.967571;0.127227;0.966485;0.053378;0.967434;0.078591;0.969465;0.051682;0.970723;0.075455
0.969047;0.061581;0.966103;0.123889;0.967573;0.052028;0.968941;0.076536;0.970077;0.048915;0.971476;0.073175
0.969557;0.057994;0.964638;0.118527;0.968335;0.049953;0.970723;0.0715;0.970599;0.045888;0.972196;0.070438
0.96991;0.053809;0.963466;0.113164;0.968961;0.046943;0.971408;0.068633;0.971075;0.041996;0.972778;0.067654
0.970184;0.050223;0.962089;0.105047;0.969615;0.042584;0.971991;0.065867;0.971415;0.038882;0.973224;0.064982
0.970498;0.046785;0.960771;0.095288;0.969968;0.039055;0.97247;0.062587;0.971665;0.03525;0.973601;0.062182
0.970772;0.042451;0.959833;0.08635;0.970349;0.035423;0.972847;0.059752;0.971914;0.031618;0.973943;0.059177
0.971046;0.037818;0.959038;0.076858;0.970594;0.031791;0.973224;0.05662;0.972119;0.026083;0.974474;0.053115
0.971281;0.032139;0.958291;0.066643;0.970731;0.02847;0.973841;0.049685;0.972187;0.022623;0.974868;0.046299
0.971556;0.02661;0.957548;0.056632;0.970867;0.02463;0.974501;0.039488;0.972209;0.019077;0.975211;0.038972
0.971712;0.021379;0.957021;0.049035;0.970894;0.019648;0.974683;0.031558;0.972164;0.015012;0.975586;0.031471
0.97183;0.015849;0.956264;0.037372;0.970839;0.0156;0.974806;0.022031;0.972028;0.011293;0.975789;0.025523
0.971948;0.011067;0.955545;0.024503;0.970731;0.01176;0.974697;0.013659;0.971801;0.007747;0.975789;0.019057
0.972065;0.006285;0.955104;0.013497;0.970486;0.007505;0.974492;0.00729;0.971529;0.004547;0.97556;0.012144
0.972183;0.002848;0.954934;0.005738;0.970186;0.003665;0.974354;0.004057;0.971211;0.002039;0.975218;0.005036
0.972261;0.000307;0.954794;0.000771;0.969887;0.000344;0.974115;0.001215;0.970939;0.000396;0.97501;0.001789
0.972261;0;0.954794;0;0.969887;0;0.974;0;0.9708;0;0.9748;0